ANZSCO Code,occupation,employed,parttime,female,earnings,age,growth,,
4312,Cafe Workers,36800,76,74,1346,22,800,,
4313,Gaming Workers,4300,25,56,1539,35,-600,,
4314,Hotel Service Managers,10200,29,67,1410,37,-300,,
4315,Waiters,129300,83,69,1346,21,-100,,
4319,Other Hospitality Workers,5800,75,59,1574,22,-300,,
4411,Defence Force Members - Other Ranks,17000,8,18,N/A,27,N/A,,
4412,Fire and Emergency Workers,19900,4,16,2473,45,600,,
4413,Police,70100,5,28,2560,40,900,,
4421,Prison Officers,19800,1,26,2080,40,-1500,,
4422,Security Officers and Guards,66800,22,17,1818,39,2600,,
4511,Beauty Therapists,44300,53,98,1178,33,2500,,
4512,Driving Instructors,5900,43,11,2224,53,-200,,
4513,Funeral Workers,5300,33,51,N/A,52,400,,
4514,Gallery Museum and Tour Guides,5800,43,58,1432,41,0,,
4515,Personal Care Consultants,4400,74,90,N/A,47,-100,,
4516,Tourism and Travel Advisers,19100,32,80,1330,44,100,,
4517,Travel Attendants,10700,39,61,1504,37,200,,
4518,Other Personal Service Workers,24400,64,65,N/A,35,1800,,
4521,Fitness Instructors,35900,68,62,1500,36,400,,
4522,Outdoor Adventure Guides,4300,31,36,1298,36,100,,
4523,Sports Coaches Instructors and Officials,66400,79,50,1442,21,5200,,
4524,Sportspersons,13100,63,34,N/A,21,-100,,
5111,Contract Program and Project Administrators,158500,11,57,2130,43,1500,,
5121,Office Managers,140600,34,81,1730,47,3000,,
5122,Practice Managers,30600,32,86,1655,44,700,,
5211,Personal Assistants,50900,28,97,1832,43,-200,,
5212,Secretaries,29500,44,94,1626,46,-1600,,
5311,General Clerks,292100,40,81,1438,41,200,,
5321,Keyboard Operators,49900,43,75,1371,40,900,,
5411,Call or Contact Centre Workers,28500,22,64,1414,36,-1100,,
5412,Information Officers,89500,30,64,1462,36,3800,,
5421,Receptionists,181300,57,89,1229,36,-2000,,
5511,Accounting Clerks,139500,30,80,1442,45,-200,,
5512,Bookkeepers,91800,60,89,1400,52,-1000,,
5513,Payroll Clerks,51700,29,84,1606,46,1100,,
5521,Bank Workers,38600,23,65,1610,37,-2100,,
5522,Credit and Loans Officers,35600,13,57,1806,39,-900,,
5523,Insurance Money Market and Statistical Clerks,41200,19,75,1501,40,900,,
5611,Betting Clerks,1900,N/A,N/A,N/A,76,100,,
5612,Couriers and Postal Deliverers,41700,30,15,1503,47,-200,,
5613,Filing and Registry Clerks,16300,47,71,1602,43,-700,,
5614,Mail Sorters,11400,32,51,N/A,50,-1200,,
5615,Survey Interviewers,800,N/A,N/A,N/A,37,-500,,
5616,Switchboard Operators,2600,16,68,N/A,49,100,,
5619,Other Clerical and Office Support Workers,6600,46,57,1433,41,300,,
5911,Purchasing and Supply Logistics Clerks,120800,20,45,1553,41,4600,,
5912,Transport and Despatch Clerks,46000,11,35,1707,41,500,,
5991,Conveyancers and Legal Executives,16800,37,78,1575,37,-600,,
5992,Court and Legal Clerks,20000,39,69,1345,29,600,,
5993,Debt Collectors,6700,18,68,1519,41,500,,
5994,Human Resource Clerks,27100,11,77,1476,40,2100,,
5995,Inspectors and Regulatory Officers,44800,16,55,1862,44,800,,
5996,Insurance Investigators Loss Adjusters and Risk Surveyors,9100,11,42,1995,41,800,,
5997,Library Assistants,6700,69,70,1779,48,-100,,
5999,Other Miscellaneous Clerical and Administrative Workers,24600,32,63,1590,39,1500,,
6111,Auctioneers and Stock and Station Agents,3000,12,29,N/A,44,-200,,
6112,Insurance Agents,17300,10,58,1559,40,800,,
6113,Sales Representatives,71800,17,37,1692,43,-400,,
6121,Real Estate Sales Agents,103900,21,52,1504,43,900,,
6211,Sales Assistants (General),562000,75,65,1241,23,9500,,
6212,ICT Sales Assistants,13600,17,37,1178,35,-1100,,
6213,Motor Vehicle and Vehicle Parts Salespersons,39100,9,21,1316,39,1900,,
6214,Pharmacy Sales Assistants,39900,74,84,1112,24,400,,
6215,Retail Supervisors,49400,32,59,1267,33,2200,,
6216,Service Station Attendants,13300,57,47,1233,35,300,,
6217,Street Vendors and Related Salespersons,5900,50,49,N/A,31,200,,
6219,Other Sales Assistants and Salespersons,11100,37,35,1318,41,-2000,,
6311,Checkout Operators and Office Cashiers,119300,78,68,1077,23,-5100,,
6391,Models and Sales Demonstrators,10200,52,77,N/A,43,400,,
6392,Retail and Wool Buyers,6800,14,56,1535,41,-400,,
6393,Telemarketers,5500,40,46,N/A,39,300,,
6394,Ticket Salespersons,18300,68,61,1276,28,500,,
6395,Visual Merchandisers,7400,67,88,1200,43,-200,,
6399,Other Sales Support Workers,6500,56,56,1363,27,-200,,
7111,Clay Concrete Glass and Stone Processing Machine Operators,2700,10,4,1716,43,-100,,
