ANZSCO Code,Occupation,Employed,Part-time share (%),Female share (%),Median weekly earnings ($),Median age,Annual employment growth,,
8392,Plastics and Rubber Factory Workers,"2,000",6,12,"1,609",44,100,,
8393,Product Quality Controllers,"12,400",15,46,"1,404",46,-100,,
8394,Timber and Wood Process Workers,"4,100",14,4,N/A,31,-300,,
8399,Other Factory Process Workers,"11,300",29,18,"1,519",37,-400,,
8411,Aquaculture Workers,"1,000",N/A,N/A,N/A,45,100,,
8412,Crop Farm Workers,"18,400",30,33,N/A,33,"-1,600",,
8413,Forestry and Logging Workers,"2,200",N/A,N/A,N/A,51,0,,
8414,Garden and Nursery Labourers,"35,200",38,17,N/A,42,800,,
8415,Livestock Farm Workers,"29,600",40,39,N/A,37,0,,
8416,Mixed Crop and Livestock Farm Workers,"3,200",32,35,N/A,33,-300,,
8419,"Other Farm, Forestry and Garden Workers","16,500",21,15,N/A,42,700,,
8511,Fast Food Cooks,"48,800",84,30,977,18,-200,,
8512,Food Trades Assistants,"4,400",73,54,"1,380",30,-300,,
8513,Kitchenhands,"149,500",79,50,"1,292",22,100,,
8911,Freight and Furniture Handlers,"16,100",40,15,"1,652",29,500,,
8912,Shelf Fillers,"71,800",81,36,"1,022",23,300,,
8991,Caretakers,"6,100",37,26,"1,383",51,-400,,
8992,Deck and Fishing Hands,"7,100",26,3,"1,720",31,100,,
8993,Handypersons,"43,400",42,5,"1,538",53,0,,
8994,Motor Vehicle Parts and Accessories Fitters,"15,400",17,1,N/A,38,600,,
8995,Printing Assistants and Table Workers,"2,400",31,40,"1,253",39,-100,,
8996,Recycling and Rubbish Collectors,"3,400",25,23,"1,462",39,-200,,
8997,Vending Machine Attendants,"4,500",41,70,"1,150",32,0,,
8999,Other Miscellaneous Labourers,"73,300",44,29,"1,543",35,"2,500",,
111211,Corporate General Managers,"60,300",14,33,N/A,47,N/A,,
111212,Defence Force Senior Officers,"1,700",16,19,N/A,49,N/A,,
111311,Local Government Legislators,"1,300",47,52,N/A,57,N/A,,
111312,Members of Parliament,850,3,39,N/A,50,N/A,,
111399,Other Legislators,150,41,41,N/A,58,N/A,,
121211,Cotton Growers,270,8,13,N/A,45,N/A,,
121212,Flower Growers,"1,100",34,40,N/A,51,N/A,,
121213,Fruit and Nut Growers,"8,200",27,26,N/A,52,N/A,,
121214,"Grain, Oilseed and Pasture Growers","10,500",20,22,N/A,54,N/A,,
121215,Grape Growers,"4,200",25,21,N/A,54,N/A,,
121216,Mixed Crop Farmers,"2,300",21,26,N/A,51,N/A,,
121217,Sugar Cane Growers,"2,500",18,18,N/A,60,N/A,,
121218,Turf Growers,390,16,14,N/A,48,N/A,,
121221,Vegetable Growers,"6,300",29,31,N/A,48,N/A,,
121299,Other Crop Farmers,"2,200",27,33,N/A,49,N/A,,
121311,Beekeepers,"1,600",32,21,N/A,49,N/A,,
